         33605 function calls (27728 primitive calls) in 0.180 seconds

   Ordered by: cumulative time
   List reduced from 175 to 20 due to restriction <20>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       11    0.000    0.000    0.147    0.013 /home/cosmosapjw/omoknuni/src/core/cpp_inference_bridge.py:111(batch_inference)
       11    0.000    0.000    0.091    0.008 /home/cosmosapjw/omoknuni/src/neural/inference_worker.py:507(_run_inference_with_precision)
  1628/11    0.002    0.000    0.090    0.008 /home/cosmosapjw/omoknuni/venv/lib/python3.12/site-packages/torch/nn/modules/module.py:1769(_wrapped_call_impl)
  1628/11    0.004    0.000    0.090    0.008 /home/cosmosapjw/omoknuni/venv/lib/python3.12/site-packages/torch/nn/modules/module.py:1777(_call_impl)
       11    0.000    0.000    0.089    0.008 /home/cosmosapjw/omoknuni/src/neural/model.py:377(forward)
      165    0.004    0.000    0.071    0.000 /home/cosmosapjw/omoknuni/src/neural/model.py:124(forward)
        2    0.012    0.006    0.040    0.020 /home/cosmosapjw/omoknuni/src/core/mcts.py:802(fast_batch_callback)
       11    0.000    0.000    0.040    0.004 /home/cosmosapjw/omoknuni/src/neural/inference_worker.py:928(batch_inference)
      165    0.004    0.000    0.029    0.000 /home/cosmosapjw/omoknuni/src/neural/model.py:56(forward)
      363    0.000    0.000    0.023    0.000 /home/cosmosapjw/omoknuni/venv/lib/python3.12/site-packages/torch/nn/modules/conv.py:547(forward)
      363    0.001    0.000    0.022    0.000 /home/cosmosapjw/omoknuni/venv/lib/python3.12/site-packages/torch/nn/modules/conv.py:530(_conv_forward)
   143/19    0.002    0.000    0.022    0.001 /usr/lib/python3.12/threading.py:637(wait)
   144/20    0.012    0.000    0.022    0.001 /usr/lib/python3.12/threading.py:323(wait)
      363    0.022    0.000    0.022    0.000 {built-in method torch.conv2d}
      363    0.000    0.000    0.016    0.000 /home/cosmosapjw/omoknuni/venv/lib/python3.12/site-packages/torch/nn/modules/linear.py:124(forward)
      363    0.015    0.000    0.015    0.000 {built-in method torch._C._nn.linear}
      363    0.001    0.000    0.012    0.000 /home/cosmosapjw/omoknuni/venv/lib/python3.12/site-packages/torch/nn/modules/batchnorm.py:159(forward)
      363    0.001    0.000    0.010    0.000 /home/cosmosapjw/omoknuni/venv/lib/python3.12/site-packages/torch/nn/functional.py:2786(batch_norm)
      363    0.009    0.000    0.009    0.000 {built-in method torch.batch_norm}
       33    0.007    0.000    0.007    0.000 {method 'copy_' of 'torch._C.TensorBase' objects}


