         59217 function calls (49489 primitive calls) in 0.428 seconds

   Ordered by: cumulative time
   List reduced from 174 to 20 due to restriction <20>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       16    0.001    0.000    0.401    0.025 /home/cosmosapjw/omoknuni/src/core/cpp_inference_bridge.py:111(batch_inference)
  2368/16    0.003    0.000    0.140    0.009 /home/cosmosapjw/omoknuni/venv/lib/python3.12/site-packages/torch/nn/modules/module.py:1769(_wrapped_call_impl)
  2368/16    0.006    0.000    0.140    0.009 /home/cosmosapjw/omoknuni/venv/lib/python3.12/site-packages/torch/nn/modules/module.py:1777(_call_impl)
       16    0.001    0.000    0.139    0.009 /home/cosmosapjw/omoknuni/src/neural/model.py:377(forward)
       16    0.000    0.000    0.133    0.008 /home/cosmosapjw/omoknuni/src/neural/inference_worker.py:507(_run_inference_with_precision)
      240    0.006    0.000    0.109    0.000 /home/cosmosapjw/omoknuni/src/neural/model.py:124(forward)
       16    0.000    0.000    0.056    0.003 /home/cosmosapjw/omoknuni/src/neural/inference_worker.py:928(batch_inference)
      240    0.006    0.000    0.043    0.000 /home/cosmosapjw/omoknuni/src/neural/model.py:56(forward)
      3/2    0.003    0.001    0.040    0.020 /home/cosmosapjw/omoknuni/src/core/mcts.py:798(fast_batch_callback)
      528    0.001    0.000    0.036    0.000 /home/cosmosapjw/omoknuni/venv/lib/python3.12/site-packages/torch/nn/modules/conv.py:547(forward)
      528    0.001    0.000    0.035    0.000 /home/cosmosapjw/omoknuni/venv/lib/python3.12/site-packages/torch/nn/modules/conv.py:530(_conv_forward)
      528    0.034    0.000    0.034    0.000 {built-in method torch.conv2d}
      528    0.001    0.000    0.021    0.000 /home/cosmosapjw/omoknuni/venv/lib/python3.12/site-packages/torch/nn/modules/linear.py:124(forward)
   389/28    0.003    0.000    0.021    0.001 /usr/lib/python3.12/threading.py:637(wait)
      528    0.020    0.000    0.020    0.000 {built-in method torch._C._nn.linear}
      528    0.002    0.000    0.019    0.000 /home/cosmosapjw/omoknuni/venv/lib/python3.12/site-packages/torch/nn/modules/batchnorm.py:159(forward)
   390/29    0.005    0.000    0.017    0.001 /usr/lib/python3.12/threading.py:323(wait)
      528    0.001    0.000    0.015    0.000 /home/cosmosapjw/omoknuni/venv/lib/python3.12/site-packages/torch/nn/functional.py:2786(batch_norm)
      528    0.014    0.000    0.014    0.000 {built-in method torch.batch_norm}
       48    0.012    0.000    0.012    0.000 {method 'copy_' of 'torch._C.TensorBase' objects}


